,CL:0000084,CL:0000233,CL:0000236,CL:0000623,CL:0000763,CL:0000786,CL:0000624,CL:0000625,CL:0000785,CL:0000787,CL:0000788,CL:0000794,CL:0000798,CL:0000815,CL:0000895,CL:0000900,CL:0000904,CL:0000905,CL:0000909,CL:0000938,CL:0000939,CL:0000940,CL:0001054,CL:0001065,CL:0002394,CL:0002396,CL:0002399,CL:0011024,CL:0000037,CL:0000934,CL:0002010,CL:0000784
CL:0000037,0.1934786929731741,0.8425842072079925,0.3092425642627267,0.3654220056504543,0.49449934128494527,0.19451443629394324,0.16892728792905945,0.22845107560329958,0.3094193325286877,0.27757397839616443,0.3044221516859119,0.31771909930798237,0.3050594191446084,0.14916215022874035,0.1861551840078317,0.2023405906923601,0.1724027146202826,0.18530994163973996,0.24136125967190072,0.27617126354008575,0.3631163032475245,0.24567846072816849,0.483069127397225,0.16142258265734022,0.31557264618129804,0.43381303313450853,0.38767187609951914,0.1807997544894097,0.0,0.26326139147725663,0.3296916883014238,0.33446710426288
CL:0000084,0.0,0.8306003325186441,0.42150178974250296,0.30648393834593984,0.6055781763282087,0.2626561768714862,0.13470202962736255,0.15774145478110044,0.4291534918865167,0.39608245196585057,0.4256265709199487,0.26962284526041386,0.23507506214511104,0.14124291888875345,0.15253127954062518,0.15752795416663504,0.14154905122282352,0.12998989477498618,0.18260287704566727,0.2583151177463392,0.3441355038454116,0.18183029516364574,0.5973398757029118,0.18045350654152925,0.48016534340485095,0.5737138794616685,0.5443300277360458,0.1467336430329062,0.1882865451173515,0.20597329956137078,0.5042930139132661,0.44256407713211493
CL:0000233,0.9871614187932308,0.0,0.9938786392200482,0.988683550000782,0.9962933542767087,0.9922742573690895,0.9881719175138317,0.9886998066532342,0.9924046478403887,0.9919431916096999,0.9923220611386281,0.9891125007633412,0.9887907793392632,0.9871903642943823,0.9881081131692115,0.9893192645788842,0.9885586606384058,0.9883674737476924,0.9940862200288905,0.9896277297201392,0.9892622055659537,0.9882002050330337,0.9948380105768064,0.9931679704399996,1.0,0.9959452864390022,0.9950770555499535,0.9843824793069523,1.0,0.985878054042998,0.995070672609509,0.9858305662458413
CL:0000236,0.4560578135560217,0.9101507760766965,0.0,0.5403555096951971,0.6179876385889193,0.2909511014294787,0.4238849831569119,0.4416674412633982,0.10637071552045722,0.09539475148036833,0.09471780921854824,0.4935995181654847,0.4704003877203538,0.39854462342477087,0.43101454885507745,0.4390193814148837,0.4290328686871251,0.4306221196433037,0.42376027296764834,0.4623313816014814,0.5334913213432039,0.45912646956018627,0.6056348862416212,0.37869110742244644,0.3308768985049967,0.5700008277367077,0.4664519712561145,0.38322658776826213,0.33140011133457764,0.46311722919282206,0.3800133268019601,0.3113409532334805
CL:0000623,0.31992195775771765,0.8634329553517999,0.5200946962529406,0.0,0.649274828462378,0.40474178611528905,0.3689264556723471,0.24111191740639878,0.5145004674930512,0.49437543834228254,0.5153044249425132,0.17330445661171204,0.19144415170601303,0.3637107250602312,0.38252468097859404,0.3796971138158616,0.3728933707963552,0.33581772978043545,0.2701057627238524,0.19724401752752274,0.13463272316164157,0.27426089229390527,0.6444776929109459,0.334443583848446,0.5561733570811579,0.6193708920774024,0.6017319654162351,0.34429117512562146,0.3731683467689935,0.19497437056761702,0.5667931517155572,0.49596371224838504
CL:0000624,0.14234243878945765,0.8672840119092704,0.42028899415581344,0.37436503618830186,0.6261725039161691,0.24358788394721612,0.0,0.21009084619758098,0.42305790589497067,0.38412573411697604,0.4174221650945782,0.33675385364008303,0.2902882782695947,0.057941453290245894,0.07239026911451316,0.1223893655594295,0.029777694497315873,0.09260605830070033,0.23727452279249556,0.30031442588752505,0.39714029269795065,0.21613510738529934,0.5969398953676441,0.14377187174743417,0.4768172762555613,0.5734974947679239,0.543365272756848,0.13373976860999412,0.17757995345519506,0.25968732266048933,0.500765152425183,0.4438223890086551
CL:0000625,0.17066219820360085,0.8782178986396523,0.4443970893902937,0.24772659018027665,0.6393505118553172,0.30933120396614416,0.2142207325920576,0.0,0.44272309232223406,0.4141648861444257,0.4416717149685761,0.1718259248376243,0.1743327396818029,0.21035472107739223,0.23678453701119112,0.21794562896231348,0.21928322031664707,0.17308283477029215,0.11619588640804428,0.22051303161753164,0.27951720811559644,0.1539804813261995,0.6130263500280025,0.21888202309677454,0.4837879346281925,0.5862692213326827,0.5534118483759487,0.1788286660511698,0.24318508119320725,0.14302471967182406,0.5159380568549246,0.4589117258031782
CL:0000763,0.680916939973965,0.9419740033433847,0.6435111028759123,0.7014473808414561,0.0,0.6490131416612458,0.6686507515727265,0.673636953434985,0.6172012018216876,0.6265985666310898,0.6431706004205914,0.6923418992342858,0.680497451617292,0.655618746920313,0.6813732859920293,0.682648266507635,0.6678435633733739,0.6611794665998699,0.6647091045920653,0.6655752651257397,0.699787542427205,0.672675956184979,0.11417638203103708,0.6266576476300569,0.45171083797767186,0.28559030476463576,0.2601442129053652,0.6701414819928169,0.5464169878567477,0.6901290941752612,0.4112962915098092,0.6033149799691863
CL:0000784,0.4682959061898393,0.8788087639183094,0.31141991180492246,0.5087602508106196,0.5686891757234149,0.3285513378937002,0.4398107328816687,0.45019530674850106,0.28219674496429753,0.2773982383836249,0.3032419196563091,0.48157953366142514,0.47233050015439665,0.40994385250307785,0.44629320073254414,0.4573195086619115,0.44089848078779464,0.44757750544916214,0.4470503776686556,0.4359854400534012,0.4936601612105669,0.4728573847126757,0.5636309422669474,0.3735319084837271,0.2898959440589831,0.5186416021512321,0.3731151528871832,0.4154188573595364,0.3710066496860079,0.46624317308205643,0.25789634537788947,0.0
CL:0000785,0.48702686765684833,0.937963992767509,0.11496958148256742,0.5600881582477666,0.6192499506700357,0.3245453898725973,0.4529199782322809,0.46676698647922354,0.0,0.07189247444537226,0.07873576132346502,0.5131152466971486,0.49310707930873793,0.42357122652788587,0.46091134571331444,0.46941209613195894,0.4566756984021901,0.4579090923311406,0.4468323545581952,0.4850292617114656,0.5520085653163926,0.486534804494436,0.6073094158733219,0.39392283343107215,0.3152980683799465,0.560819535505002,0.45178335453143503,0.40728635265530094,0.35249588263705517,0.48720598785116026,0.3547084782369298,0.30241363092454154
CL:0000786,0.2831156491815589,0.8918257057889423,0.2931462913706075,0.41986696698245657,0.6177777906135538,0.0,0.24844182956582453,0.31077609920735066,0.30759825283422004,0.2591809780253282,0.29618675147024615,0.3885491005589295,0.3592454977643277,0.2273399231460101,0.23631863756117763,0.2614291872590397,0.2516791178113987,0.2764972649008599,0.3228036569431386,0.35861866950140936,0.43050686743366506,0.3281486142707978,0.6094863760838641,0.25847753709822874,0.4633953736188293,0.583369933202649,0.5311251465794552,0.24018629230317357,0.20775077880111403,0.3358900786799988,0.47280818560759075,0.33689303043113045
CL:0000787,0.44349183926685615,0.9282883767773623,0.10218597677834929,0.5311428715092222,0.6211990179482663,0.2705964967130277,0.4062772203091164,0.43156674829820196,0.07122799445840074,0.0,0.07052794015618419,0.48687383267715467,0.4618924968416194,0.3769701622067546,0.41335457822647237,0.42470267428569225,0.4102489625811374,0.4113915119134505,0.41360265873079827,0.4539093891750128,0.5290630071880843,0.44848243930755555,0.6068302448659644,0.36266392960544125,0.3259514590838106,0.5698706654174805,0.46548134461700463,0.3655724906075758,0.31293645862040576,0.4538764027240379,0.3772180965703987,0.29517673601359623
CL:0000788,0.48635935231196703,0.9457028964262217,0.10378641813432164,0.5650053202071562,0.651233114853816,0.31509570310398405,0.4509639448412512,0.4704036536702298,0.07969811430926661,0.07215805107124781,0.0,0.5224167638240632,0.49818813376963983,0.42426316879467263,0.4527800438608611,0.4598300067514977,0.4558827005336956,0.45752545853579707,0.45203147521672465,0.4878908331257245,0.5573513277398787,0.48838884270588306,0.6339889495150992,0.40455143290224627,0.36003717152205256,0.5998619478510705,0.4965145277973646,0.4100113402492569,0.3483756497367908,0.49542736134351567,0.41004848061453986,0.3293625064658115
CL:0000794,0.299133644967687,0.9008225636723024,0.5106552585677042,0.18350868853146002,0.6759883327897304,0.3968152241096779,0.3521031014593837,0.1776564312796057,0.5001689753223096,0.480594878547624,0.504854419690026,0.0,0.17242494208405404,0.3435968331182603,0.3698817457948659,0.35286767257880103,0.35583728831403394,0.30947541087896624,0.20621211707902465,0.22719984691061132,0.19948564518245135,0.24935500926721071,0.6485448408560129,0.33298357616463287,0.5310135768688479,0.6213515156156684,0.5936919569442483,0.3071292831854627,0.3466443536787217,0.13716610288476339,0.5578834793591226,0.5036478555390327
CL:0000798,0.25864812342414256,0.8956753375511757,0.4829648124507802,0.20174343053387783,0.6598754973304667,0.36417574591159885,0.30153239872468773,0.1791213585881253,0.47736092433520166,0.45296251526205633,0.4782606969074404,0.17078164457432865,0.0,0.29764578427602567,0.326611470458055,0.32703958971541064,0.3051390008340239,0.23982852250419837,0.16188336187700683,0.17192341817774645,0.21547383646938212,0.1530983899848449,0.6321222718802809,0.27080508104257595,0.5239743403891669,0.6087237249206527,0.5784344515521456,0.2624827989540305,0.33439911230719943,0.13899979046329117,0.5433133477756455,0.4917902944448998
CL:0000815,0.1484991216712711,0.8662995208254042,0.39427846519623666,0.3679048794380832,0.6112459115236867,0.2224408173170981,0.057472638336444254,0.20540210234038334,0.39443174439409473,0.3546781627798613,0.39074138577801043,0.3271600695356824,0.28529932766212823,0.0,0.09675969845177507,0.1403146763481034,0.059115196444242124,0.1025126061329685,0.22882826351199792,0.294191351631768,0.3911671016678687,0.21791888887550934,0.5848082509613779,0.1354642031908035,0.4519752027114248,0.5572659373184227,0.519818399240575,0.12290085123689459,0.15689006441941752,0.2508470435836314,0.4690106101644313,0.4110395176872548
CL:0000895,0.16297479356132002,0.8737948549726232,0.4316805861882839,0.39226543106743755,0.6448637553231006,0.23370091775017893,0.07322848048770335,0.23505630714281053,0.4353125115403917,0.3950855037565621,0.42373946146780345,0.3576101936410527,0.3180797210486169,0.09857448495640393,0.0,0.08317388599010021,0.07637489928952147,0.1474030931673842,0.2666208073134262,0.31878666659825433,0.41024397675149643,0.2477248610955984,0.6123975868876949,0.17499897431654654,0.5023828843753327,0.5896050676182487,0.5659045121777323,0.14845074093927668,0.1975938450355816,0.2928334724117302,0.5227496515113502,0.4548253654698478
CL:0000900,0.16922396666228057,0.879415526444312,0.44202815573261817,0.3914110868551274,0.6493844639321051,0.2600670671707043,0.12451931177703317,0.2175218657366254,0.4457156657314655,0.4080342738335259,0.4325725370758026,0.3430391774655484,0.32016596551556115,0.14357091932145705,0.08366593717125034,0.0,0.13057126362798774,0.17494271562115693,0.24785241512826975,0.3247457584194967,0.4120279559753129,0.2496584647732446,0.6171167054638785,0.2066596254669807,0.5074398779600375,0.5935983614817317,0.5715040792181951,0.16451276073740403,0.2157457133033131,0.30142075159644954,0.5310571768190779,0.4686266842155402
CL:0000904,0.1499112265794195,0.8704431824880418,0.42674028426728483,0.3793581152863504,0.6270431870196654,0.24761744819485115,0.02986638096374164,0.2156584594822385,0.4278660282229679,0.38888535426193166,0.42304108401560564,0.3412195977273704,0.2946068720835741,0.059707676099020515,0.07569636770067792,0.128674669173594,0.0,0.09275807173145033,0.243205748310122,0.30399610367448926,0.4000925572079911,0.21903240697576612,0.5972622100793765,0.14189873002927916,0.48176563203356276,0.5728842685478425,0.5447973318507531,0.14033782071604656,0.18188995973066233,0.2628431433817651,0.5026742386901595,0.4463973525200518
CL:0000905,0.13817867821789168,0.8714655040599597,0.42859289367249565,0.3426481135569365,0.6221693260770034,0.27274257535973073,0.09291676293199344,0.17011066738369787,0.42922961217365607,0.3896995050415088,0.4244017542543789,0.29728397281893293,0.23177339642473024,0.10322910790814122,0.14630422469259344,0.17260277573070815,0.0927792726263976,0.0,0.1745204447151355,0.2621814616224548,0.3662448924770944,0.1470677247606266,0.5939384389640595,0.1477776675116432,0.47736610292911125,0.5707726099143778,0.5375633008050744,0.13340357299396322,0.19577976908271638,0.20918349648119522,0.49498070311045783,0.45336751925507734
CL:0000909,0.19764691760836264,0.8866691342545983,0.427689402961137,0.2799618739166812,0.6342850814981156,0.32257407282485007,0.24162101295570598,0.11683200506549658,0.42506108264220227,0.3978355358881584,0.425423986051317,0.2011976638952276,0.15846111149045394,0.23408677926311988,0.2687299678371105,0.2485425757782172,0.24705027970501753,0.1772477197583039,0.0,0.21854900524408566,0.30649723640813936,0.11697197776085885,0.6093420537067025,0.23967763307570106,0.4701817299768143,0.5841514517555632,0.541134061477176,0.1885725268423521,0.25910326197971145,0.1619822192178559,0.4941287824530554,0.458061900634968
CL:0000934,0.22316215699596748,0.8751202288952777,0.4670253559846816,0.20166249994522029,0.6558262008498466,0.3363245108665954,0.2646988594500761,0.14356154370428317,0.4633300118842416,0.4365499521047292,0.46687058968804857,0.1329754569900129,0.13634679124280552,0.25689874498902787,0.295204518042958,0.3020809552205641,0.267174858444842,0.21241210644837194,0.1618378013723933,0.2005773562177941,0.23219739162018443,0.17516445837599992,0.628443488427596,0.25591370952757836,0.5059632904200065,0.6039129696542279,0.5703727273585908,0.23807318862647112,0.2827091378245582,0.0,0.5323440643705643,0.47716326200788783
