,CL:0000057,CL:0000084,CL:0000115,CL:0000182,CL:0000232,CL:0000235,CL:0000576,CL:0000775,CL:0000786,CL:0000814,CL:0002538,CL:1000398,CL:2000055,CL:0000064,CL:0000097,CL:0000151,CL:0000160,CL:0000192,CL:0000236,CL:0000319,CL:0000624,CL:0000625,CL:0000646,CL:0002320,CL:0005006,CL:1000329,CL:1000330,CL:0000037,CL:0000049,CL:0000094,CL:0000233,CL:0000767,CL:0000784,CL:0000787,CL:0000788,CL:0000860,CL:0000875,CL:0000895,CL:0000897,CL:0000908,CL:0000921,CL:0000980,CL:0002394,CL:0000499,CL:0000815,CL:0000841,CL:0000909,CL:0001044,CL:0001050,CL:0001065,CL:0002393,CL:0002399,CL:0000068,CL:0000185,CL:0000492,CL:0000669,CL:0002138,CL:0002503,CL:0002623,CL:0009005,CL:0000900,CL:0000066,CL:0000312,CL:0000738,CL:0002144,CL:0002543,CL:0002573,CL:0002673,CL:1000413,CL:0000359,CL:0002326,CL:4006000,CL:0000067,CL:0002149,CL:0002366,CL:0000034,CL:0000114,CL:0000129,CL:0000136,CL:0000148,CL:0000287,CL:0000451,CL:0000575,CL:0000636,CL:0000681,CL:0000748,CL:0000764,CL:0002303,CL:0002363,CL:0002585,CL:0002586,CL:1000432,CL:1000436,CL:0000134,CL:0000186,CL:0000187,CL:0000188,CL:0000453,CL:0000794,CL:0000038,CL:0000746,CL:0002548,CL:0010008,CL:0000169,CL:0000171,CL:0000763,CL:0002064,CL:0002079,CL:0002275,CL:0002410,CL:0000019,CL:0000158,CL:0002340,CL:0002341,CL:0000077,CL:0000189,CL:0000190,CL:0000388,CL:0002139,CL:0008011,CL:0000807,CL:0000808,CL:0000823,CL:0000893,CL:0000894,CL:0002038,CL:0002365,CL:0002677,CL:1001428,CL:0000131,CL:0000584,CL:0002071,CL:0002250,CL:0009009,CL:0009011,CL:0009016,CL:0019032,CL:1000320,CL:1001516,CL:0000071,CL:0002062,CL:0002063,CL:0002370,CL:0002598,CL:0017000,CL:1000271,CL:1000331,CL:2000016,CL:0009012,CL:0009017,CL:1000334,CL:1000343,CL:1000495,CL:1001589,CL:0002518
CL:0000019,0.6841231353351105,0.6117278053589982,0.7401959792049105,,,0.7889918163428071,0.69647919237963,0.6394194641224025,,0.6945572422326305,,,,,0.4886639977683337,,,0.7474236633976512,,,,0.6857873943423982,,,,,,,,,,,,,,,,,,,,,,0.3645289825946568,,,,,,,,,,,,,,,,,,0.14242012464078027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45726678407686683,,,,,,0.7360070509895567,,,,,0.0,0.43721182696514715,0.62659823302009,0.31884603698133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000034,0.5042272536331202,0.5881424148051,0.6054629411210338,,,0.7687630516676538,0.6452964295102785,,0.3981501377538764,,,,,,0.45016582910605246,,,,0.4184334445798081,,0.30909252192146547,0.4263344140734333,,,,,,,,,,,,,,,,,,,,,,0.6999683501484144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.34144549897732535,0.7634596413044442,0.3176189764757611,0.4563544398638492,0.6018776791782992,0.6373054178723078,0.20102003237754973,0.68499982372815,0.0752460632936708,0.35254746529220465,0.2990187663213145,0.3383260006960437,0.660376474353917,0.6099834099032413,0.7131458118799611,0.14077820358772747,0.5296256915781794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000037,,0.2418398163641244,0.20597980358488693,,0.6185466579277141,0.4355353163983021,0.3252721945350973,0.5821719482938854,0.49282494033023627,0.1859337194397333,,,,,0.3889551500148472,,,,0.179562594695117,,0.19048409473718117,0.16987298351821023,,,,,,0.0,0.12356519312969963,0.22031209545564523,0.4401621216233228,0.04262224982599114,0.2632552828397528,0.283865860220929,0.39309313592096917,0.42506426495750166,0.4997815799991233,0.19105694814909993,0.17980436556510485,0.15986521275442495,0.17577180978934334,0.43347752234410647,0.2068280850998676,0.5256863697673149,0.1839834288537767,0.16956501717761635,0.21218612249554922,0.20388659925584207,0.27372178608592007,0.17811187289094121,0.43175767598056786,0.38244760695725066,,,,,,,,,0.16884308336682227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32770238627625725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000038,0.7583140386523075,0.6559728127152932,0.8298381437607917,,0.5936554782501711,0.6306217220239161,0.5720003976002977,0.7147660850504132,0.7128228742529465,0.575441295370523,,,,,0.5976310576309607,,,0.8246836940092388,,,0.36169799872138425,0.5701895191570736,,,,,,0.2954691594779804,0.2579455429521071,0.30078039648477445,,,,0.4863208543443465,0.6360178996533412,,,,,,,0.4546505732864214,,0.35287436933531713,,,,,,,,,,,,,,,,,,0.5557860889533669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.8006784247358134,,,,,0.5086709144471214,0.5776785469872491,0.7312267580267743,0.5804246254618782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000049,,0.2830199081023288,,,0.6237727436990511,0.3808051342263232,0.34437984448624154,0.6467300334246031,0.6784189777969987,0.22175132200907866,,,,,,,,,,,0.24128269781496176,0.22105204789654226,,,,,,0.12226677535893504,0.0,0.21871367841225858,0.7569189543232451,0.10794863636685857,0.2758651144116421,0.46144647309669096,0.5917055146277022,0.4271147953452462,0.4419223379740766,0.1918843829295179,0.15010044823938962,0.18841152663197913,0.18641469054332863,0.5031507279244222,0.10668587346358302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27963196137304325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000057,0.0,0.69351144617039,0.597030681301832,0.8926334064476031,0.8595996673828376,0.7419695618345222,0.7607253961325654,0.8742068034741632,0.7054960852650779,0.7066407610274841,0.8451755393401919,0.6430570381854005,0.8186980647644264,0.7981304320858996,0.7330178714810884,0.7517190314738347,0.9411063421444132,0.5258114837091415,0.6713297956090168,0.8072914490374126,0.818933928292879,0.8367896412114417,0.8278327697423571,0.1990234379898101,0.7323252563385221,0.8504179060679302,0.810687552674417,,,,,0.7974615838377694,0.6576774632818209,0.7591501933596657,0.7619739905281315,0.7843767122529332,0.7458138321080634,,,,,,,0.752886301661591,,,,0.7668513056452695,0.7751225424144393,0.6653106381596094,0.7708028460077851,,0.8365752948232956,0.8432000095303008,0.762586625211896,0.5576381095161523,0.6003014154191624,0.285020264501615,0.8295007834833452,0.8447110398310751,,0.6711066037402562,0.9988681804281908,0.732958800303681,0.7439060717822379,0.716737045685217,0.7734437731916273,0.6482636104037882,0.6629519400947422,0.5163478842976303,,,0.6436045528616057,0.6420725879938424,0.6031307617532049,0.5772840531393856,0.5047977901304213,0.8740762681210643,0.6390004632824954,0.5604901555831729,0.7881620312001192,0.8074276342401054,0.6080112924395653,0.7258249762835918,0.5852602288636513,0.6015504575495481,0.6987927294404421,0.3449315076924979,0.31449621146677886,0.6514004948493154,0.7171926097949254,0.6288879314681312,0.6610500953315431,0.10502516928641072,0.47260802001334845,,,,0.7633718767380856,0.7944771353124742,,,,0.46489365791747517,0.46334987999797334,0.7240395094247565,0.45641657758289206,0.4164488487289639,0.48738206464716216,0.2256747537750798,0.7973221597593915,0.7893873727033172,0.842666660836383,0.7590460007989003,0.547329816113157,,0.6222235226894988,,,,0.6793902865100117,0.68168406120751,0.7110468467048578,0.6808225587208785,0.7083886743388836,0.6664065224870921,0.5378250474092823,0.6773237105984223,0.5655643391883655,0.6349628462217349,0.9873067038818142,0.9814547137096526,0.988990169827151,0.9798641504020265,0.9742282920938699,1.0,0.9428895036772127,0.985109108919354,0.9906735529400754,0.6818783579772327,0.7290590675632698,0.7625144570419482,0.8154081601272426,0.37687617234591353,0.7213018021960776,0.7495889952450421,0.7966525015342883,0.7130333689234226,1.0,0.9957787176525407,0.9714080342702073,1.0,1.0,1.0,
CL:0000064,0.8649813993745255,0.9075532778791406,0.8642651763441633,,,0.9373851441500722,,0.95187619718691,0.8224334320349843,,,,,0.0,0.8576147042868085,0.6847392228913093,0.7705417796929472,0.8404792665341335,0.877775955065303,0.6905210989027112,0.9094418918682344,0.921002304466468,0.7573041153157047,0.8519593863213293,0.7375722632341469,0.7064827849028151,0.697756133336526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000066,0.6519888847715057,0.6285021225088929,0.6373782978266197,,0.8992528554715028,0.7168149730942094,0.742579749940325,0.7228262688446212,0.4026054567161815,0.6570925391253125,,,,,0.6228258474213616,,,0.5482390346646944,0.4418194249782958,,,0.716444608552136,0.7025598289893208,,,,,,,,,,,0.7268710560483312,0.6155528603912682,,,0.7725312003516183,0.7718864694417832,,,,0.9554441655120733,0.5846891421864588,0.7998287348667379,,0.769817746229953,,,,,0.9515884743389642,,,0.758885401039435,0.6497865606094468,0.6536160161769219,,,,0.808941762164911,0.0,0.7985426222638056,0.7431515149414212,1.0,1.0,1.0,1.0,0.682979168739468,0.8080553011583304,,,0.10773990631831971,0.09845451301726543,0.7978676862217475,,,,,0.4998075497992592,,,,,,,,,,,,,,,,0.6712092602479337,0.5699106883148508,0.9479444626296942,0.7680462371929299,0.5168981328404718,,,,,,0.7929527529610625,,,,,0.14734516952941548,0.5378589298439511,0.723904621086788,0.3410572392379217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000067,0.6573265216335019,0.7300781925534943,0.7635373015772018,,,0.83024192808284,,,,0.7228664983700491,,,,,,,,,0.6214289797648013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7529884826950178,0.6748000291823878,,,,,0.1063342120168658,,0.6966748324814104,,,,,,0.7936617553983921,,,0.0,0.08368764798753925,0.7822822482132379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL:0000068,0.842999609361872,0.36062025557900684,0.5885249907683971,,,0.5119967717995868,0.5044497854046425,0.36782085718981977,0.47739571820762705,0.45448957583839134,,,,,,,,,0.3676799596717207,,0.4280065581597759,0.4032417683791198,0.25115677565476646,,0.20682690639885756,,,,,,,,,0.37656532560785255,0.4175827222163096,,,,,,,,,,,,,,,,,,0.0,0.526037886200377,0.43531392782751405,0.7329105241823403,0.5452386569973465,0.8733868462267472,0.3511469386914101,0.18966726751976956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
